,gid,plaid,posid,teamid,teamname,newpos,newposname
0,0,4319,23,783,Uruguay,3,Fw
1,1,5259,2,783,Uruguay,1,Def
2,2,5247,16,783,Uruguay,2,Mid
3,3,5255,12,783,Uruguay,2,Mid
4,4,5264,1,783,Uruguay,1,Def
5,5,5249,4,783,Uruguay,1,Def
6,6,5260,14,783,Uruguay,2,Mid
7,7,5258,20,783,Uruguay,2,Mid
8,8,5248,5,783,Uruguay,1,Def
9,9,5246,21,783,Uruguay,3,Fw
10,10,5263,5,774,Egypt,1,Def
11,11,4063,4,774,Egypt,1,Def
12,12,5254,2,774,Egypt,1,Def
13,13,3568,12,774,Egypt,2,Mid
14,14,5253,11,774,Egypt,2,Mid
15,15,5261,15,774,Egypt,2,Mid
16,16,5262,14,774,Egypt,2,Mid
17,17,5251,18,774,Egypt,2,Mid
18,18,5252,22,774,Egypt,3,Fw
19,19,5250,1,774,Egypt,1,Def
20,20,5265,0,774,Egypt,0,GK
21,21,5267,0,783,Uruguay,0,GK
22,22,3878,14,774,Egypt,2,Mid
23,23,5256,20,783,Uruguay,2,Mid
24,24,5268,16,783,Uruguay,2,Mid
25,25,5257,22,774,Egypt,3,Fw
26,26,3536,11,774,Egypt,2,Mid
27,27,5266,12,783,Uruguay,2,Mid
28,28,5560,18,794,Mexico,2,Mid
29,29,5556,16,794,Mexico,2,Mid
30,30,5567,1,794,Mexico,1,Def
31,31,5563,10,794,Mexico,1,Def
32,32,5564,2,794,Mexico,1,Def
33,33,5575,8,794,Mexico,1,Def
34,34,5573,4,794,Mexico,1,Def
35,35,3058,22,794,Mexico,3,Fw
36,36,5571,20,794,Mexico,2,Mid
37,37,5576,5,794,Mexico,1,Def
38,38,5577,0,794,Mexico,0,GK
39,39,5619,0,791,South Korea,0,GK
40,40,5989,16,791,South Korea,2,Mid
41,41,5623,18,791,South Korea,2,Mid
42,42,5988,8,791,South Korea,1,Def
43,43,5620,20,791,South Korea,2,Mid
44,44,5608,1,791,South Korea,1,Def
45,45,3083,22,791,South Korea,3,Fw
46,46,3605,10,791,South Korea,1,Def
47,47,5604,4,791,South Korea,1,Def
48,48,5610,5,791,South Korea,1,Def
49,49,5606,2,791,South Korea,1,Def
50,50,5616,15,791,South Korea,2,Mid
51,51,5558,10,794,Mexico,1,Def
52,52,5985,20,794,Mexico,2,Mid
53,53,5987,12,794,Mexico,2,Mid
54,54,5618,12,791,South Korea,2,Mid
55,55,5986,5,791,South Korea,1,Def
56,56,5183,5,799,Saudi Arabia,1,Def
57,57,5190,22,799,Saudi Arabia,3,Fw
